"","gender","SeniorCitizen","Partner","Dependents","tenure","PhoneService","MultipleLines","InternetService","OnlineSecurity","OnlineBackup","DeviceProtection","TechSupport","StreamingTV","StreamingMovies","Contract","PaperlessBilling","PaymentMethod","MonthlyCharges","TotalCharges","TotalDiff","Churn","tenure1","MonthlyCharges1"
"2016","Male",0,"Yes","No",52,"Yes","No","DSL","Yes","Yes","No","No","Yes","Yes","1yr","Yes","MC",75.4,3865.45,55.35,"No","48-60","$72-$96"
"2017","Male",0,"Yes","Yes",62,"Yes","No","FO","Yes","Yes","Yes","Yes","Yes","Yes","2yr","No","MC",108.15,6825.65,-120.35,"No","60-72","$96-$120"
"2018","Female",0,"No","No",16,"Yes","No","FO","No","Yes","No","No","No","Yes","M-T-M","Yes","EC",86.25,1340.1,39.9,"No","12-24","$72-$96"
"2019","Female",1,"Yes","No",5,"Yes","Yes","FO","No","Yes","No","No","No","No","M-T-M","Yes","EC",81,371.65,33.35,"Yes","0-12","$72-$96"
"2020","Male",0,"No","No",12,"Yes","No","FO","No","No","Yes","No","Yes","Yes","1yr","No","EC",95.7,1184,-35.6,"No","0-12","$72-$96"
"2021","Female",0,"Yes","Yes",72,"Yes","Yes","FO","Yes","Yes","Yes","Yes","Yes","Yes","2yr","Yes","BT",116.85,8477.7,-64.5,"No","60-72","$96-$120"
"2022","Male",1,"No","No",71,"Yes","Yes","FO","No","Yes","No","Yes","Yes","Yes","1yr","No","BT",105.75,7382.85,125.4,"No","60-72","$96-$120"
"2023","Female",0,"Yes","No",24,"Yes","No","No","Nis","Nis","Nis","Nis","Nis","Nis","1yr","No","MC",20.15,456.85,26.75,"No","12-24","$0-$24"
"2024","Female",0,"No","No",15,"Yes","No","No","Nis","Nis","Nis","Nis","Nis","Nis","2yr","No","MC",19.6,331.6,-37.6,"No","12-24","$0-$24"
"2025","Male",0,"Yes","No",67,"Yes","No","FO","Yes","Yes","No","No","No","Yes","1yr","Yes","CC",90.6,6056.15,14.05,"Yes","60-72","$72-$96"
"2026","Male",0,"No","Yes",2,"Yes","Yes","DSL","Yes","Yes","No","No","No","No","M-T-M","No","BT",60.95,134.6,-12.7,"No","0-12","$48-$72"
"2027","Female",0,"Yes","Yes",5,"No","Nps","DSL","No","No","No","No","No","No","M-T-M","No","MC",25.05,125.5,-0.25,"No","0-12","$24-$48"
"2028","Female",0,"Yes","No",15,"Yes","No","FO","No","No","No","No","Yes","Yes","M-T-M","No","EC",88.15,1390.6,-68.35,"Yes","12-24","$72-$96"
"2029","Male",0,"No","No",1,"Yes","No","No","Nis","Nis","Nis","Nis","Nis","Nis","M-T-M","Yes","MC",20.2,20.2,0,"Yes","0-12","$0-$24"
"2030","Male",0,"Yes","Yes",41,"Yes","No","DSL","Yes","Yes","Yes","No","No","No","1yr","Yes","BT",60.3,2511.3,-39,"No","36-48","$48-$72"
"2031","Female",0,"No","Yes",43,"Yes","No","DSL","Yes","Yes","No","No","No","Yes","M-T-M","Yes","EC",63.95,2737.05,12.8,"No","36-48","$48-$72"
"2032","Male",1,"Yes","No",1,"Yes","Yes","FO","No","No","No","No","No","No","M-T-M","No","EC",74.3,74.3,0,"No","0-12","$72-$96"
"2033","Female",1,"No","No",1,"Yes","No","FO","No","No","No","No","No","No","M-T-M","Yes","MC",70.6,70.6,0,"No","0-12","$48-$72"
"2034","Female",0,"Yes","Yes",26,"Yes","No","FO","No","No","No","No","Yes","Yes","M-T-M","Yes","EC",90.8,2361.8,-1,"Yes","24-36","$72-$96"
"2035","Male",0,"No","No",22,"Yes","Yes","FO","No","Yes","No","No","No","No","M-T-M","Yes","EC",79.35,1730.35,15.35,"Yes","12-24","$72-$96"
"2036","Male",0,"Yes","No",71,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes","2yr","No","BT",90.55,6404,25.05,"No","60-72","$72-$96"
"2037","Male",0,"No","No",7,"Yes","No","No","Nis","Nis","Nis","Nis","Nis","Nis","2yr","No","MC",19.45,165.35,-29.2,"No","0-12","$0-$24"
"2038","Female",1,"No","No",28,"Yes","Yes","DSL","No","Yes","Yes","Yes","No","No","M-T-M","No","BT",64.45,1867.6,-63,"No","24-36","$48-$72"
"2039","Male",1,"No","No",16,"Yes","No","FO","No","No","No","No","No","No","M-T-M","No","EC",69.65,1043.3,71.1,"No","12-24","$48-$72"
"2040","Male",0,"No","No",7,"Yes","No","No","Nis","Nis","Nis","Nis","Nis","Nis","1yr","No","MC",19.5,128.6,7.9,"No","0-12","$0-$24"
"2041","Female",0,"No","No",69,"Yes","Yes","FO","No","Yes","Yes","Yes","Yes","Yes","2yr","Yes","BT",110.5,7455.45,169.05,"No","60-72","$96-$120"
"2042","Female",0,"No","Yes",1,"No","Nps","DSL","No","No","No","No","No","No","M-T-M","No","MC",24.7,24.7,0,"No","0-12","$24-$48"
"2043","Male",0,"No","No",3,"Yes","No","DSL","Yes","No","Yes","No","Yes","Yes","M-T-M","Yes","EC",77.4,206.15,26.05,"No","0-12","$72-$96"
"2044","Male",1,"No","No",21,"Yes","No","FO","No","No","Yes","No","Yes","Yes","M-T-M","Yes","BT",96.8,2030.3,2.5,"Yes","12-24","$96-$120"
"2045","Female",0,"Yes","No",69,"Yes","Yes","FO","No","Yes","Yes","No","No","No","M-T-M","Yes","BT",85.4,5869.4,23.2,"No","60-72","$72-$96"
"2046","Female",0,"Yes","No",71,"No","Nps","DSL","Yes","Yes","Yes","Yes","No","No","2yr","Yes","BT",47.6,3377.8,1.8,"No","60-72","$24-$48"
"2047","Female",0,"Yes","Yes",69,"Yes","No","No","Nis","Nis","Nis","Nis","Nis","Nis","2yr","No","MC",19.4,1346.2,-7.6,"No","60-72","$0-$24"
"2048","Female",0,"No","No",48,"Yes","Yes","FO","No","No","Yes","Yes","Yes","Yes","M-T-M","Yes","EC",103.85,4946.05,38.75,"No","36-48","$96-$120"
"2049","Male",0,"Yes","No",47,"Yes","Yes","FO","No","Yes","Yes","No","No","No","M-T-M","Yes","BT",83.35,4065,-147.55,"Yes","36-48","$72-$96"
"2050","Female",0,"No","No",2,"Yes","Yes","DSL","No","No","No","No","No","No","M-T-M","Yes","EC",49.4,106.55,-7.75,"Yes","0-12","$48-$72"
"2051","Male",0,"No","No",45,"Yes","Yes","FO","Yes","No","Yes","Yes","Yes","Yes","M-T-M","Yes","CC",108.45,4964.7,-84.45,"No","36-48","$96-$120"
"2052","Male",0,"No","No",51,"Yes","Yes","FO","No","Yes","No","No","No","No","M-T-M","No","BT",81,4085.75,45.25,"No","48-60","$72-$96"
"2053","Female",0,"Yes","No",22,"Yes","Yes","DSL","Yes","No","No","Yes","Yes","Yes","M-T-M","Yes","EC",79.2,1742.75,-0.35,"Yes","12-24","$72-$96"
"2054","Male",0,"No","No",72,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes","2yr","No","BT",86.65,6224.8,14,"No","60-72","$72-$96"
"2055","Male",0,"Yes","Yes",37,"Yes","Yes","FO","No","Yes","Yes","No","Yes","No","M-T-M","Yes","EC",92.95,3415.25,23.9,"No","36-48","$72-$96"
"2056","Male",0,"Yes","Yes",71,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes","2yr","No","EC",90.35,6325.25,89.6,"No","60-72","$72-$96"
"2057","Male",0,"Yes","Yes",7,"Yes","No","DSL","No","No","Yes","No","No","No","M-T-M","No","EC",48.7,340.25,0.65,"Yes","0-12","$48-$72"
"2058","Female",0,"No","No",66,"Yes","Yes","No","Nis","Nis","Nis","Nis","Nis","Nis","2yr","Yes","CC",25.15,1683.6,-23.7,"No","60-72","$24-$48"
"2059","Male",0,"Yes","Yes",51,"Yes","No","DSL","Yes","No","No","Yes","Yes","Yes","1yr","Yes","BT",76.4,3966.3,-69.9,"No","48-60","$72-$96"
"2060","Female",0,"Yes","Yes",30,"Yes","No","No","Nis","Nis","Nis","Nis","Nis","Nis","1yr","No","BT",19.55,608.5,-22,"No","24-36","$0-$24"
"2061","Female",0,"No","No",34,"Yes","Yes","FO","No","No","No","No","Yes","No","M-T-M","No","EC",85.35,2896.6,5.3,"No","24-36","$72-$96"
"2062","Male",0,"Yes","Yes",64,"Yes","Yes","No","Nis","Nis","Nis","Nis","Nis","Nis","2yr","Yes","MC",24.8,1514.85,72.35,"No","60-72","$24-$48"
"2063","Male",1,"Yes","No",65,"Yes","Yes","FO","No","Yes","Yes","No","Yes","Yes","1yr","Yes","BT",103.15,6792.45,-87.7,"No","60-72","$96-$120"
"2064","Male",0,"No","No",47,"Yes","Yes","FO","Yes","Yes","No","Yes","Yes","No","M-T-M","No","MC",100.75,4669.2,66.05,"No","36-48","$96-$120"
"2065","Female",0,"No","No",1,"Yes","No","FO","Yes","No","No","No","Yes","Yes","M-T-M","Yes","EC",95.6,95.6,0,"Yes","0-12","$72-$96"
"2066","Female",0,"No","No",49,"Yes","Yes","DSL","Yes","Yes","No","No","No","No","M-T-M","Yes","CC",59.75,2934.3,-6.55,"Yes","48-60","$48-$72"
"2067","Female",0,"Yes","Yes",67,"Yes","Yes","FO","No","Yes","No","Yes","Yes","No","2yr","No","CC",94.1,6302.8,1.9,"No","60-72","$72-$96"
"2068","Male",0,"No","Yes",39,"Yes","No","No","Nis","Nis","Nis","Nis","Nis","Nis","1yr","No","BT",19.35,779.2,-24.55,"No","36-48","$0-$24"
"2069","Male",0,"No","No",14,"Yes","No","No","Nis","Nis","Nis","Nis","Nis","Nis","M-T-M","No","MC",19.9,283.75,-5.15,"No","12-24","$0-$24"
"2070","Female",1,"No","No",43,"Yes","No","FO","Yes","Yes","No","Yes","Yes","Yes","M-T-M","Yes","CC",108.15,4600.7,49.75,"Yes","36-48","$96-$120"
"2071","Male",1,"No","No",56,"Yes","Yes","FO","No","No","Yes","No","Yes","Yes","M-T-M","Yes","EC",101.05,5594,64.8,"No","48-60","$96-$120"
"2072","Female",0,"No","No",14,"Yes","No","DSL","No","No","No","Yes","No","Yes","1yr","No","CC",59.1,772.85,54.55,"No","12-24","$48-$72"
"2073","Female",0,"No","No",1,"Yes","No","FO","No","No","No","No","No","No","M-T-M","No","EC",71.35,71.35,0,"Yes","0-12","$48-$72"
"2074","Male",0,"Yes","Yes",16,"Yes","No","DSL","Yes","Yes","No","No","No","No","1yr","Yes","MC",55.85,857.8,35.8,"No","12-24","$48-$72"
"2075","Male",0,"Yes","Yes",70,"Yes","Yes","FO","Yes","Yes","No","No","Yes","Yes","M-T-M","Yes","EC",106.05,7554.05,-130.55,"No","60-72","$96-$120"
"2076","Male",1,"Yes","No",72,"Yes","Yes","DSL","Yes","Yes","Yes","No","Yes","Yes","2yr","Yes","CC",84.1,5981.65,73.55,"No","60-72","$72-$96"
"2077","Female",0,"Yes","Yes",23,"Yes","No","FO","No","No","Yes","No","No","No","M-T-M","Yes","CC",75.3,1702.9,29,"No","12-24","$72-$96"
"2078","Male",0,"No","Yes",21,"Yes","Yes","No","Nis","Nis","Nis","Nis","Nis","Nis","M-T-M","No","MC",24.7,467.15,51.55,"No","12-24","$24-$48"
"2079","Female",0,"No","No",1,"Yes","No","No","Nis","Nis","Nis","Nis","Nis","Nis","M-T-M","Yes","MC",20.15,20.15,0,"Yes","0-12","$0-$24"
"2080","Male",0,"No","Yes",1,"Yes","No","FO","No","No","No","No","No","No","M-T-M","No","BT",69.75,69.75,0,"Yes","0-12","$48-$72"
"2081","Female",1,"Yes","No",32,"Yes","Yes","FO","No","No","No","No","Yes","Yes","M-T-M","Yes","EC",93.2,2931,51.4,"Yes","24-36","$72-$96"
"2082","Male",0,"Yes","Yes",17,"Yes","No","FO","No","No","No","No","Yes","No","M-T-M","No","EC",80.85,1400.85,-26.4,"Yes","12-24","$72-$96"
"2083","Female",0,"No","No",4,"No","Nps","DSL","Yes","Yes","No","No","No","No","M-T-M","Yes","EC",33.65,137.85,-3.25,"Yes","0-12","$24-$48"
"2084","Female",0,"No","No",36,"Yes","Yes","DSL","No","No","Yes","No","No","No","1yr","No","EC",55.8,1941.5,67.3,"No","24-36","$48-$72"
"2085","Female",0,"No","No",50,"No","Nps","DSL","No","Yes","Yes","Yes","No","No","2yr","No","CC",39.7,1932.75,52.25,"No","48-60","$24-$48"
"2086","Female",0,"Yes","Yes",48,"No","Nps","DSL","No","No","No","Yes","No","No","M-T-M","Yes","CC",29.5,1423.05,-7.05,"No","36-48","$24-$48"
"2087","Female",0,"No","Yes",50,"Yes","No","No","Nis","Nis","Nis","Nis","Nis","Nis","2yr","No","CC",20.15,970.85,36.65,"No","48-60","$0-$24"
"2088","Male",0,"Yes","No",72,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","No","Yes","2yr","No","CC",79.55,5810.9,-83.3,"No","60-72","$72-$96"
"2089","Male",0,"No","Yes",10,"Yes","Yes","No","Nis","Nis","Nis","Nis","Nis","Nis","M-T-M","No","CC",24.8,223.9,24.1,"No","0-12","$24-$48"
"2090","Female",0,"No","No",18,"Yes","No","No","Nis","Nis","Nis","Nis","Nis","Nis","M-T-M","No","MC",19.65,391.7,-38,"No","12-24","$0-$24"
"2091","Male",0,"No","No",1,"Yes","No","FO","No","No","No","No","Yes","No","M-T-M","Yes","EC",79.95,79.95,0,"Yes","0-12","$72-$96"
"2092","Female",0,"No","No",1,"Yes","No","No","Nis","Nis","Nis","Nis","Nis","Nis","M-T-M","No","EC",19.3,19.3,0,"Yes","0-12","$0-$24"
"2093","Male",0,"No","No",9,"Yes","No","FO","No","No","Yes","No","Yes","Yes","M-T-M","Yes","EC",94.05,811.65,34.8,"No","0-12","$72-$96"
"2094","Male",0,"No","No",2,"Yes","Yes","FO","Yes","No","No","No","No","Yes","M-T-M","No","MC",90.75,174.75,6.75,"No","0-12","$72-$96"
"2095","Female",0,"Yes","No",40,"Yes","Yes","FO","No","No","No","Yes","No","No","M-T-M","Yes","CC",78.85,3126.85,27.15,"No","36-48","$72-$96"
"2096","Male",0,"Yes","No",69,"Yes","Yes","FO","No","No","Yes","No","Yes","Yes","1yr","No","BT",99.5,6841.45,24.05,"No","60-72","$96-$120"
"2097","Female",0,"Yes","No",37,"Yes","Yes","FO","Yes","No","Yes","Yes","No","Yes","1yr","Yes","EC",99.2,3754.6,-84.2,"Yes","36-48","$96-$120"
"2098","Male",0,"No","Yes",18,"Yes","Yes","FO","No","No","Yes","No","No","No","M-T-M","Yes","CC",80.55,1406.65,43.25,"No","12-24","$72-$96"
"2099","Male",1,"Yes","No",11,"Yes","No","FO","No","No","No","No","No","No","M-T-M","Yes","EC",70.2,834.7,-62.5,"No","0-12","$48-$72"
"2100","Female",0,"Yes","No",8,"Yes","Yes","FO","No","No","No","No","No","Yes","M-T-M","Yes","CC",85.2,627.4,54.2,"Yes","0-12","$72-$96"
"2101","Female",0,"No","No",3,"Yes","Yes","FO","No","No","No","No","No","No","M-T-M","No","EC",75.25,242,-16.25,"Yes","0-12","$72-$96"
"2102","Male",0,"Yes","Yes",55,"Yes","No","DSL","Yes","No","No","No","No","Yes","1yr","No","CC",59.45,3157,112.75,"No","48-60","$48-$72"
"2103","Male",0,"Yes","No",33,"Yes","Yes","FO","No","Yes","Yes","No","No","Yes","M-T-M","Yes","EC",93.35,3092,-11.45,"No","24-36","$72-$96"
"2104","Female",0,"No","No",46,"Yes","No","DSL","No","No","No","No","No","No","M-T-M","No","BT",44.95,2168.9,-101.2,"No","36-48","$24-$48"
"2105","Male",0,"No","No",34,"Yes","Yes","No","Nis","Nis","Nis","Nis","Nis","Nis","2yr","No","BT",26.1,980.35,-92.95,"No","24-36","$24-$48"
"2106","Female",0,"No","No",3,"Yes","No","No","Nis","Nis","Nis","Nis","Nis","Nis","M-T-M","No","EC",20.2,65.95,-5.35,"No","0-12","$0-$24"
"2107","Male",0,"Yes","Yes",30,"Yes","No","No","Nis","Nis","Nis","Nis","Nis","Nis","2yr","No","MC",21.25,711.9,-74.4,"No","24-36","$0-$24"
"2108","Female",0,"No","No",33,"Yes","Yes","DSL","Yes","No","No","Yes","No","No","1yr","No","EC",59.4,1952.8,7.4,"No","24-36","$48-$72"
"2109","Male",0,"Yes","Yes",45,"Yes","Yes","FO","No","Yes","Yes","No","No","Yes","1yr","Yes","CC",95,4368.85,-93.85,"No","36-48","$72-$96"
"2110","Male",0,"No","No",40,"Yes","No","DSL","Yes","Yes","No","Yes","No","No","M-T-M","Yes","MC",61.9,2647.1,-171.1,"No","36-48","$48-$72"
"2111","Female",0,"No","No",71,"Yes","Yes","FO","Yes","Yes","Yes","Yes","Yes","Yes","2yr","Yes","EC",118.65,8477.6,-53.45,"No","60-72","$96-$120"
"2112","Male",0,"No","No",1,"Yes","Yes","DSL","No","No","Yes","No","No","No","M-T-M","No","EC",54.35,54.35,0,"Yes","0-12","$48-$72"
"2113","Female",0,"Yes","Yes",72,"No","Nps","DSL","Yes","Yes","Yes","Yes","Yes","Yes","2yr","No","BT",64.45,4528,112.4,"No","60-72","$48-$72"
"2114","Female",0,"Yes","Yes",22,"Yes","No","FO","No","No","No","No","No","Yes","M-T-M","Yes","EC",80.15,1790.65,-27.35,"No","12-24","$72-$96"
"2115","Male",0,"Yes","Yes",46,"Yes","No","No","Nis","Nis","Nis","Nis","Nis","Nis","1yr","Yes","BT",20.2,845.6,83.6,"No","36-48","$0-$24"
"2116","Female",0,"Yes","Yes",55,"Yes","No","No","Nis","Nis","Nis","Nis","Nis","Nis","2yr","No","MC",21,1210.3,-55.3,"No","48-60","$0-$24"
"2117","Male",0,"No","No",1,"Yes","No","No","Nis","Nis","Nis","Nis","Nis","Nis","M-T-M","No","MC",20.45,20.45,0,"No","0-12","$0-$24"
"2118","Female",0,"No","No",12,"Yes","Yes","DSL","No","No","No","Yes","Yes","Yes","1yr","Yes","MC",75.85,854.45,55.75,"No","0-12","$72-$96"
"2119","Male",0,"No","No",31,"Yes","Yes","FO","No","Yes","No","No","No","No","M-T-M","Yes","EC",80.45,2429.1,64.85,"No","24-36","$72-$96"
"2120","Male",0,"Yes","No",5,"No","Nps","DSL","No","No","No","No","No","No","M-T-M","Yes","EC",24.95,100.4,24.35,"Yes","0-12","$24-$48"
"2121","Female",0,"Yes","Yes",67,"Yes","Yes","DSL","Yes","No","No","No","Yes","Yes","2yr","Yes","EC",75.5,5229.45,-170.95,"No","60-72","$72-$96"
"2122","Male",0,"No","No",1,"Yes","No","DSL","No","No","No","No","No","No","M-T-M","No","MC",44.45,44.45,0,"No","0-12","$24-$48"
"2123","Male",0,"Yes","No",40,"No","Nps","DSL","Yes","Yes","Yes","No","No","No","1yr","Yes","EC",42.35,1716.45,-22.45,"Yes","36-48","$24-$48"
"2124","Male",0,"Yes","Yes",41,"Yes","Yes","DSL","Yes","Yes","Yes","No","Yes","No","M-T-M","Yes","CC",74.55,3023.55,33,"No","36-48","$72-$96"
"2125","Male",0,"No","No",1,"Yes","Yes","FO","No","No","No","No","No","No","M-T-M","Yes","EC",75.3,75.3,0,"Yes","0-12","$72-$96"
"2126","Male",0,"No","No",51,"Yes","Yes","FO","Yes","Yes","No","No","Yes","No","1yr","Yes","EC",94.8,4837.6,-2.8,"Yes","48-60","$72-$96"
"2127","Male",0,"Yes","Yes",42,"No","Nps","DSL","Yes","No","Yes","Yes","Yes","No","2yr","No","CC",48.15,2032.3,-10,"No","36-48","$48-$72"
"2128","Male",0,"Yes","Yes",23,"Yes","No","No","Nis","Nis","Nis","Nis","Nis","Nis","1yr","No","MC",19.65,436.9,15.05,"No","12-24","$0-$24"
"2129","Female",1,"No","No",1,"Yes","No","FO","No","No","No","No","No","No","M-T-M","Yes","EC",70.55,70.55,0,"Yes","0-12","$48-$72"
"2130","Female",0,"No","No",1,"Yes","No","No","Nis","Nis","Nis","Nis","Nis","Nis","M-T-M","No","MC",20.15,20.15,0,"No","0-12","$0-$24"
"2131","Female",0,"No","No",56,"Yes","Yes","FO","Yes","Yes","No","No","Yes","Yes","M-T-M","Yes","CC",106.6,5893.95,75.65,"No","48-60","$96-$120"
"2132","Male",0,"No","Yes",15,"Yes","Yes","FO","No","Yes","No","No","Yes","No","M-T-M","Yes","EC",91,1430.05,-65.05,"No","12-24","$72-$96"
"2133","Male",0,"Yes","Yes",12,"Yes","Yes","No","Nis","Nis","Nis","Nis","Nis","Nis","2yr","Yes","BT",25.4,313,-8.2,"No","0-12","$24-$48"
"2134","Female",0,"Yes","Yes",54,"Yes","No","DSL","Yes","No","Yes","Yes","No","Yes","2yr","No","BT",69.95,3871.85,-94.55,"No","48-60","$48-$72"
"2135","Female",0,"No","No",7,"Yes","No","DSL","No","No","No","No","Yes","Yes","M-T-M","Yes","EC",66.85,458.1,9.85,"No","0-12","$48-$72"
"2136","Female",0,"Yes","Yes",33,"Yes","Yes","FO","No","No","No","No","No","Yes","M-T-M","No","CC",86.15,2745.7,97.25,"Yes","24-36","$72-$96"
"2137","Male",0,"Yes","Yes",16,"Yes","No","No","Nis","Nis","Nis","Nis","Nis","Nis","M-T-M","No","EC",20.15,341.35,-18.95,"No","12-24","$0-$24"
"2138","Female",0,"No","Yes",21,"Yes","No","DSL","Yes","No","Yes","No","No","Yes","1yr","No","MC",64.85,1336.8,25.05,"No","12-24","$48-$72"
"2139","Male",1,"Yes","No",30,"Yes","Yes","DSL","No","No","Yes","No","Yes","Yes","2yr","No","EC",74.85,2181.75,63.75,"No","24-36","$72-$96"
"2140","Male",0,"No","No",3,"Yes","No","DSL","No","No","No","Yes","No","No","M-T-M","Yes","MC",50.5,147.75,3.75,"No","0-12","$48-$72"
"2141","Male",0,"No","No",11,"Yes","No","FO","No","No","Yes","No","No","No","M-T-M","No","EC",72.9,818.45,-16.55,"No","0-12","$72-$96"
"2142","Female",0,"No","No",62,"Yes","Yes","FO","Yes","Yes","Yes","Yes","Yes","Yes","1yr","Yes","CC",115.05,7133.45,-0.35,"No","60-72","$96-$120"
"2143","Male",0,"No","No",18,"Yes","No","No","Nis","Nis","Nis","Nis","Nis","Nis","M-T-M","No","EC",19,348.8,-6.8,"No","12-24","$0-$24"
"2144","Male",0,"No","Yes",6,"Yes","No","No","Nis","Nis","Nis","Nis","Nis","Nis","M-T-M","No","MC",19.55,128.6,-11.3,"No","0-12","$0-$24"
"2145","Female",0,"No","No",46,"Yes","Yes","FO","No","No","Yes","No","Yes","Yes","1yr","Yes","EC",101.1,4674.4,-23.8,"No","36-48","$96-$120"
"2146","Male",0,"No","No",21,"Yes","Yes","FO","No","No","No","No","No","Yes","M-T-M","Yes","EC",84.1,1737.45,28.65,"No","12-24","$72-$96"
"2147","Male",0,"No","No",68,"Yes","Yes","No","Nis","Nis","Nis","Nis","Nis","Nis","2yr","Yes","BT",24.15,1498.85,143.35,"No","60-72","$24-$48"
"2148","Female",0,"No","No",1,"Yes","Yes","DSL","No","No","No","No","No","No","M-T-M","Yes","EC",50.1,50.1,0,"No","0-12","$48-$72"
"2149","Female",0,"Yes","No",25,"Yes","No","FO","No","No","Yes","No","No","No","M-T-M","Yes","EC",74.6,1797.75,67.25,"No","24-36","$72-$96"
"2150","Female",0,"No","Yes",24,"Yes","No","No","Nis","Nis","Nis","Nis","Nis","Nis","2yr","No","MC",19.75,498.1,-24.1,"No","12-24","$0-$24"
"2151","Female",0,"Yes","No",30,"Yes","Yes","FO","No","No","No","No","No","Yes","M-T-M","Yes","EC",85,2624.25,-74.25,"Yes","24-36","$72-$96"
"2152","Female",0,"No","No",2,"Yes","No","FO","No","No","No","No","No","Yes","M-T-M","No","EC",80.55,184.1,-23,"Yes","0-12","$72-$96"
"2153","Male",0,"Yes","No",51,"Yes","Yes","FO","No","Yes","Yes","No","Yes","Yes","1yr","Yes","BT",106.8,5498.8,-52,"No","48-60","$96-$120"
"2154","Female",0,"Yes","Yes",57,"Yes","Yes","DSL","Yes","No","Yes","Yes","Yes","Yes","2yr","Yes","EC",84.5,4845.4,-28.9,"No","48-60","$72-$96"
"2155","Female",0,"No","No",15,"Yes","Yes","No","Nis","Nis","Nis","Nis","Nis","Nis","2yr","No","BT",25.05,369.1,6.65,"No","12-24","$24-$48"
"2156","Female",0,"Yes","Yes",72,"Yes","No","DSL","Yes","Yes","Yes","Yes","Yes","Yes","2yr","Yes","BT",83.7,6096.9,-70.5,"No","60-72","$72-$96"
"2157","Female",0,"No","No",2,"Yes","No","FO","No","No","Yes","No","No","No","M-T-M","Yes","EC",75.8,160.75,-9.15,"Yes","0-12","$72-$96"
"2158","Male",0,"Yes","No",28,"Yes","Yes","FO","No","Yes","Yes","No","Yes","No","M-T-M","No","CC",96.6,2684.35,20.45,"No","24-36","$96-$120"
"2159","Male",1,"Yes","No",29,"Yes","Yes","FO","No","No","Yes","No","Yes","Yes","M-T-M","Yes","EC",98.5,3004.15,-147.65,"Yes","24-36","$96-$120"
"2160","Male",0,"Yes","Yes",70,"Yes","No","FO","Yes","Yes","Yes","Yes","Yes","No","2yr","Yes","CC",101.1,6994.8,82.2,"No","60-72","$96-$120"
"2161","Female",0,"No","No",13,"Yes","No","No","Nis","Nis","Nis","Nis","Nis","Nis","1yr","No","MC",20.2,273.25,-10.65,"No","12-24","$0-$24"
"2162","Female",1,"Yes","No",59,"Yes","Yes","FO","Yes","Yes","Yes","Yes","No","No","1yr","Yes","EC",94.05,5483.9,65.05,"No","48-60","$72-$96"
"2163","Male",1,"Yes","No",13,"Yes","Yes","FO","No","No","No","No","Yes","Yes","M-T-M","Yes","EC",95.25,1233.65,4.6,"Yes","12-24","$72-$96"
"2164","Male",1,"Yes","No",7,"Yes","Yes","FO","No","No","No","No","No","No","M-T-M","Yes","MC",74.4,527.9,-7.1,"Yes","0-12","$72-$96"
"2165","Female",0,"Yes","No",62,"Yes","No","DSL","Yes","No","Yes","Yes","Yes","Yes","2yr","No","MC",81,4985.9,36.1,"No","60-72","$72-$96"
"2166","Female",0,"No","No",21,"Yes","No","DSL","Yes","No","Yes","Yes","No","No","1yr","Yes","EC",60.25,1258.35,6.9,"No","12-24","$48-$72"
"2167","Female",0,"No","No",2,"Yes","No","DSL","No","No","Yes","No","No","Yes","M-T-M","No","EC",60.85,111.4,10.3,"No","0-12","$48-$72"
"2168","Female",0,"No","No",1,"Yes","No","DSL","No","No","No","No","No","No","M-T-M","No","CC",43.95,43.95,0,"No","0-12","$24-$48"
"2169","Male",0,"No","No",4,"Yes","No","FO","No","No","Yes","No","No","Yes","M-T-M","No","EC",86.05,308.1,36.1,"No","0-12","$72-$96"
"2170","Female",0,"No","No",19,"Yes","No","No","Nis","Nis","Nis","Nis","Nis","Nis","1yr","No","CC",20.25,383.65,1.1,"No","12-24","$0-$24"
"2171","Female",0,"No","No",30,"Yes","No","FO","No","No","No","Yes","Yes","No","M-T-M","No","EC",85.15,2555.9,-1.4,"Yes","24-36","$72-$96"
"2172","Male",0,"Yes","Yes",67,"Yes","No","No","Nis","Nis","Nis","Nis","Nis","Nis","2yr","Yes","CC",19.4,1284.2,15.6,"No","60-72","$0-$24"
"2173","Male",1,"Yes","No",72,"Yes","Yes","FO","Yes","Yes","Yes","No","No","Yes","2yr","Yes","CC",102.65,7550.3,-159.5,"No","60-72","$96-$120"
"2174","Male",0,"Yes","No",53,"Yes","No","No","Nis","Nis","Nis","Nis","Nis","Nis","2yr","No","CC",19.9,1110.05,-55.35,"No","48-60","$0-$24"
"2175","Female",0,"No","No",5,"Yes","No","No","Nis","Nis","Nis","Nis","Nis","Nis","1yr","No","EC",19.55,99.6,-1.85,"No","0-12","$0-$24"
"2176","Male",1,"Yes","No",71,"Yes","No","FO","No","Yes","Yes","Yes","No","Yes","2yr","Yes","CC",95.5,6707.15,73.35,"No","60-72","$72-$96"
"2177","Female",0,"Yes","Yes",50,"Yes","Yes","DSL","No","Yes","Yes","Yes","Yes","Yes","1yr","Yes","CC",84.15,4164.4,43.1,"No","48-60","$72-$96"
